---,WidgetType,WidgetClass
UIBase,"UIBase","/Script/UMG.WidgetBlueprintGeneratedClass'/Game/CompanyGrowth/UI/UI_Base.UI_Base_C'"
InGameMainWidget,"InGameMain","/Script/UMG.WidgetBlueprintGeneratedClass'/Game/CompanyGrowth/UI/Panels/MainMap/UI_InGameLayer.UI_InGameLayer_C'"
ResourceElement,"ResourceElement","/Script/UMG.WidgetBlueprintGeneratedClass'/Game/CompanyGrowth/UI/Elements/Common/UIE_Resource.UIE_Resource_C'"
ButtonElementWidget,"ButtonElement","/Script/UMG.WidgetBlueprintGeneratedClass'/Game/CompanyGrowth/UI/Elements/Button/UI_Element_Button.UI_Element_Button_C'"
StatRowWidget,"StatRow","/Script/UMG.WidgetBlueprintGeneratedClass'/Game/CompanyGrowth/UI/Elements/Common/UIE_StatRow.UIE_StatRow_C'"
ConfirmCancel,"ConfirmCancel","/Script/UMG.WidgetBlueprintGeneratedClass'/Game/CompanyGrowth/UI/Elements/Common/ConfirmCancelWidget.ConfirmCancelWidget_C'"
BrickCollection,"BrickCollection","/Script/UMG.WidgetBlueprintGeneratedClass'/Game/CompanyGrowth/UI/Elements/Common/UIE_BrickCollection.UIE_BrickCollection_C'"
BuildOpenPanelWidget,"BuildOpen","/Script/UMG.WidgetBlueprintGeneratedClass'/Game/CompanyGrowth/UI/Panels/MainMap/UI_BuildOpen.UI_BuildOpen_C'"
MenuPanelWidget,"MenuPanel","/Script/UMG.WidgetBlueprintGeneratedClass'/Game/CompanyGrowth/UI/Panels/MainMap/UI_MenuPanel.UI_MenuPanel_C'"
BuildPanelWidget,"BuildPanel","/Script/UMG.WidgetBlueprintGeneratedClass'/Game/CompanyGrowth/UI/Panels/MainMap/UI_BuildModal.UI_BuildModal_C'"
BuildEntityCardWidget,"BuildEntityCard","/Script/UMG.WidgetBlueprintGeneratedClass'/Game/CompanyGrowth/UI/Elements/Cards/UIE_BuildEntityCard.UIE_BuildEntityCard_C'"
CardInfoWidget,"CardInfo","/Script/UMG.WidgetBlueprintGeneratedClass'/Game/CompanyGrowth/UI/Elements/Cards/UIE_CardInfo.UIE_CardInfo_C'"
BuildEntityResource,"ConstructionResource","/Script/UMG.WidgetBlueprintGeneratedClass'/Game/CompanyGrowth/UI/Elements/Common/UIE_BuildEntityResource.UIE_BuildEntityResource_C'"
BuildPlacementPanelWidget,"BuildPlacementPanel","/Script/UMG.WidgetBlueprintGeneratedClass'/Game/CompanyGrowth/UI/Panels/MainMap/UI_BuildPlacementPanel.UI_BuildPlacementPanel_C'"
BuildingManage,"BuildingManage","/Script/UMG.WidgetBlueprintGeneratedClass'/Game/CompanyGrowth/UI/Panels/MainMap/UI_BuildingManagePanel.UI_BuildingManagePanel_C'"
BuildingSkinCardWidget,"BuildingSkinCard","/Script/UMG.WidgetBlueprintGeneratedClass'/Game/CompanyGrowth/UI/Elements/Building/UIE_BuildingSkinCard.UIE_BuildingSkinCard_C'"
FactoryPanelWidget,"FactoryPanel","/Script/UMG.WidgetBlueprintGeneratedClass'/Game/CompanyGrowth/UI/Panels/MainMap/UI_FactoryPanel.UI_FactoryPanel_C'"
LoadingWidget,"Loading","/Script/UMG.WidgetBlueprintGeneratedClass'/Game/CompanyGrowth/UI/Panels/System/UI_LoadingWidget.UI_LoadingWidget_C'"
